Model,Fold,MAE,RMSE,R2,MAPE,Acc_2yr,Acc_5yr,Max_Error,Min_Error,Median_Error
microsoft__dit-base,1,5.464988378089244,7.481018311960879,0.29985873638744875,26.02359108335258,25.984251968503933,62.99212598425197,25.26979637145996,0.08316421508789062,4.188497543334961
microsoft__dit-base,2,5.1635136283361,8.072240820119061,0.07275236155667919,31.657221251732654,31.25,65.86538461538461,40.98741340637207,0.035373687744140625,3.002284526824952
microsoft__dit-base,3,5.953517998121061,8.368340022586828,0.19338066124083375,26.88542846193014,22.099447513812155,62.98342541436463,30.836814880371097,0.0172271728515625,3.9226322174072266
microsoft__dit-base,4,4.202746454874674,7.7480016555749796,0.16532006844931202,19.799290272712277,44.84848484848485,75.75757575757575,39.4290714263916,0.0007648468017578125,2.295879364013672
microsoft__dit-base,5,4.831560353141519,6.8218852799672165,0.27821716730290325,22.727277038501214,35.32338308457712,64.17910447761194,20.242053985595703,0.0024204254150390625,2.8099231719970703
microsoft__dit-large,1,5.173039751728688,8.059550268929343,0.18738309039105172,21.504051893925208,36.22047244094488,74.01574803149606,29.058374404907227,0.036650657653808594,3.0703163146972656
microsoft__dit-large,2,5.841442617086264,8.421652792750804,-0.009257954836947802,35.01004846951691,18.269230769230766,55.28846153846154,42.2127799987793,0.017414093017578125,4.536747932434084
microsoft__dit-large,3,7.516851035270902,9.157259797730788,0.03412468934481938,38.909856509546856,8.83977900552486,22.099447513812155,35.43127250671387,0.03771018981933594,7.045392990112305
microsoft__dit-large,4,4.867279728976163,8.151105606053186,0.07620926576883125,23.91310517235422,27.27272727272727,75.15151515151514,41.14214897155762,0.1498394012451172,3.2700109481811523
microsoft__dit-large,5,6.19858364086246,7.412187292672052,0.1479001400537895,32.901561121781256,17.91044776119403,35.32338308457712,19.606332778930664,0.025173187255859375,5.908763885498047
microsoft__dit-base-finetuned-rvlcdip,1,5.041081481092558,7.191854755875012,0.3529377637336446,23.631722738931515,34.645669291338585,65.35433070866141,24.551599502563477,0.011671066284179688,3.125040054321289
microsoft__dit-base-finetuned-rvlcdip,2,4.633297548844264,7.847104968650197,0.12375320891843,25.48363236578793,33.65384615384615,65.38461538461539,39.124555587768555,0.0448150634765625,3.035325050354003
microsoft__dit-base-finetuned-rvlcdip,3,6.011498330047776,9.06216959686202,0.054080093592173806,24.860076055418602,26.519337016574585,62.98342541436463,36.46267509460449,0.00029468536376953125,3.8367576599121094
microsoft__dit-base-finetuned-rvlcdip,4,4.5795392585523205,7.793434116032619,0.15550263519584018,23.62040892521048,30.909090909090907,80.60606060606061,37.40268516540527,0.04652595520019531,3.0534744262695312
microsoft__dit-base-finetuned-rvlcdip,5,4.788211680170315,6.784758031953005,0.2860522121030801,21.661722350627414,30.845771144278604,72.13930348258707,21.438682556152344,0.02751922607421875,3.2689857482910156
microsoft__dit-large-finetuned-rvlcdip,1,4.833703664344127,6.993697138856061,0.3881036240113528,22.121340258673364,37.00787401574803,70.86614173228347,22.914392471313477,0.030753135681152344,2.899250030517578
microsoft__dit-large-finetuned-rvlcdip,2,4.987294187912574,8.16866014798653,0.0504689472894273,29.43321400666533,33.17307692307692,63.46153846153846,41.12625598907471,0.03358268737792969,2.872490882873535
microsoft__dit-large-finetuned-rvlcdip,3,6.1911877057828955,8.610484634199587,0.14602494317508963,27.690427026241988,7.18232044198895,62.430939226519335,36.72893142700195,0.22451972961425426,4.553728103637692
microsoft__dit-large-finetuned-rvlcdip,4,4.905126785509514,8.285574816247953,0.04547820669969149,23.616500832683084,20.606060606060606,80.0,42.26007080078125,0.011594772338867188,3.6688766479492188
microsoft__dit-large-finetuned-rvlcdip,5,5.667223906635645,7.301876243330729,0.17307397425542947,27.10426485362306,9.950248756218906,62.68656716417911,21.683494567871097,0.01396942138671875,4.300504684448239
