system,age_group,n,MAE,RMSE
CNN_Best3Grid,<=15,62,2.2214845250749238,3.116956907579091
CNN_Best3Grid,16-25,48,0.9920206342203276,1.1893286872470556
CNN_Best3Grid,26-50,5,20.42526432816667,22.801034534631963
CNN_Best3Grid,>50,1,31.346272496666668,31.346272496666668
MobileViT_XXS,<=15,62,1.779941693548387,2.243419833864739
MobileViT_XXS,16-25,48,1.5056550520833332,1.954436550106744
MobileViT_XXS,26-50,5,21.1121712,23.010686879759813
MobileViT_XXS,>50,1,34.905926,34.905926
ViT_EqualMean,<=15,62,2.1468871379032257,3.086307836272725
ViT_EqualMean,16-25,48,2.0809071421875003,2.228223274556262
ViT_EqualMean,26-50,5,18.3667844,20.491945702743728
ViT_EqualMean,>50,1,30.313072000000002,30.313072000000002
